sch_code,api99,edparent,meals,englearn,yearround,credteach,emerteach,avg_ed_raw,pct_af_am,pct_am_ind,pct_asian,pct_fil,pct_hisp,pct_pac,pct_white,mobility
130054,633,12.78,21,6,0,88,13,2.89,6,1,12,9,30,3,39,0.0
130062,646,13.42,16,17,0,86,24,3.21,5,1,27,6,17,1,43,12.0
130096,797,14.9,1,2,0,100,4,3.95,1,1,9,2,5,0,81,0.0
130229,693,13.66,0,18,0,93,7,3.33,5,1,33,7,10,1,38,7.0
130450,773,14.94,0,9,0,98,7,3.97,8,0,28,1,9,1,46,0.0
130583,788,14.54,3,2,0,100,0,3.77,3,1,9,1,7,0,79,25.0
130849,642,12.88,14,6,0,91,9,2.94,4,1,13,7,25,1,49,10.0
131177,728,14.5,0,9,0,89,15,3.75,36,0,10,1,10,0,40,9.0
132092,433,11.8,48,27,0,83,17,2.4,63,0,6,0,28,1,1,13.0
132225,723,13.82,0,3,0,88,11,3.41,4,1,17,3,11,1,62,9.0
132704,726,12.22,11,2,0,96,8,2.61,5,2,7,4,13,1,68,
132746,443,13.14,19,7,0,81,19,3.07,75,0,18,0,6,0,2,10.0
132878,589,13.04,0,21,0,94,8,3.02,24,1,18,14,13,2,24,18.0
133132,442,11.24,50,49,0,86,14,2.12,34,0,15,1,48,1,1,7.0
133397,760,14.04,5,3,0,100,0,3.52,2,1,3,3,10,1,81,
133629,586,12.86,27,13,0,84,13,2.93,23,2,6,3,32,2,32,7.0
134270,692,13.64,9,5,0,73,26,3.32,4,1,17,7,14,1,57,11.0
134452,689,13.12,16,23,0,77,23,3.06,5,0,27,9,18,0,40,12.0
134536,729,13.98,7,5,0,100,0,3.49,3,0,5,2,12,0,77,7.0
134668,665,13.36,23,16,0,94,0,3.18,13,0,23,18,25,2,20,13.0
134791,386,11.6,55,14,0,76,16,2.3,79,0,9,1,11,0,1,18.0
135244,888,15.3,1,4,0,93,20,4.15,1,0,49,2,3,0,44,4.0
135319,591,12.68,29,18,0,85,13,2.84,15,1,12,14,33,5,21,5.0
135905,516,11.02,56,46,0,88,8,2.01,29,0,54,1,11,0,4,10.0
136051,506,12.34,39,19,0,92,12,2.67,61,1,20,1,12,0,5,18.0
136515,906,16.0,0,1,0,94,4,4.5,2,0,23,0,2,0,73,4.0
137588,562,12.46,23,21,0,82,18,2.73,18,1,14,8,26,1,32,0.0
137810,546,12.32,20,10,0,87,13,2.66,27,1,9,5,33,2,24,16.0
137943,613,12.96,28,15,0,78,16,2.98,50,1,24,2,11,1,11,13.0
138339,531,12.02,44,29,0,85,10,2.51,18,1,11,9,39,7,16,8.0
138693,767,13.94,11,8,0,75,26,3.47,5,0,18,4,13,1,59,13.0
330753,750,13.5,0,0,0,95,5,3.25,1,2,1,0,5,0,91,3.0
334755,722,13.52,12,1,0,96,8,3.26,1,4,0,0,9,1,85,6.0
430827,616,12.74,42,9,0,94,0,2.87,0,0,3,0,20,0,77,50.0
431676,702,13.8,16,14,0,97,3,3.4,2,2,9,0,16,0,70,7.0
433201,763,14.08,12,0,0,100,0,3.54,0,1,2,0,6,0,89,14.0
433953,596,12.36,0,9,0,93,10,2.68,0,1,6,0,31,0,61,
434803,590,12.46,35,8,0,97,3,2.73,2,6,10,0,10,0,71,100.0
435602,571,12.66,35,12,0,89,9,2.83,5,5,18,0,7,1,66,
437350,684,13.64,20,0,0,97,1,3.32,0,2,1,0,4,0,92,8.0
437558,722,14.14,6,5,0,100,1,3.57,2,2,4,0,8,0,83,5.0
531509,656,13.28,0,1,0,89,9,3.14,2,2,1,0,6,0,90,
532507,723,13.64,5,1,0,95,5,3.32,0,2,1,0,4,1,92,
631259,585,12.8,35,24,0,100,4,2.9,0,1,0,0,38,2,58,1.0
635250,512,10.94,45,35,0,90,10,1.97,3,0,1,0,58,0,36,9.0
637504,420,10.26,80,47,0,91,14,1.63,0,1,2,0,79,0,18,4.0
730044,834,15.32,2,3,0,94,6,4.16,2,0,18,3,4,0,73,6.0
730051,803,14.52,0,2,0,93,8,3.76,3,1,13,3,8,1,71,0.0
730283,850,15.62,0,11,0,94,6,4.31,1,1,12,1,3,0,82,5.0
730291,755,12.62,0,11,0,100,0,2.81,20,0,31,7,24,2,17,26.0
730457,684,13.04,0,0,0,89,11,3.02,4,1,2,2,22,0,69,9.0
730465,673,13.9,0,2,0,84,13,3.45,15,1,5,6,16,2,54,2.0
730549,699,13.5,0,2,0,96,4,3.25,3,3,3,1,12,1,76,10.0
730861,610,12.92,28,5,0,90,8,2.96,8,2,3,2,23,1,61,31.0
731125,856,15.72,0,0,0,92,10,4.36,1,1,14,0,4,0,76,5.0
731380,706,14.12,9,3,0,89,11,3.56,2,0,6,3,9,0,79,8.0
731646,758,14.12,6,3,0,89,11,3.56,1,1,8,2,7,0,82,10.0
731836,668,13.4,15,4,0,82,15,3.2,3,1,6,4,17,1,69,9.0
732164,502,12.98,0,14,0,82,18,2.99,36,0,12,7,18,0,27,12.0
732941,608,13.72,0,11,0,87,14,3.36,39,1,23,3,11,0,23,14.0
733659,378,11.52,0,29,0,70,20,2.26,61,0,9,1,27,0,3,14.0
733725,802,14.98,0,4,0,92,11,3.99,1,1,10,1,8,0,79,0.0
733980,681,13.24,0,1,0,94,7,3.12,2,1,1,1,26,1,69,100.0
734244,867,15.9,0,0,0,89,9,4.45,1,0,15,1,2,0,80,100.0
734368,842,15.48,0,1,0,92,10,4.24,2,0,15,2,4,1,76,67.0
734566,547,12.1,44,24,0,75,21,2.55,15,0,9,6,36,1,33,17.0
735316,613,13.52,0,8,0,88,11,3.26,18,0,16,17,14,0,34,9.0
735407,524,12.58,0,6,0,71,28,2.79,25,0,6,11,33,1,25,0.0
735902,385,10.94,0,46,0,79,17,1.97,26,0,18,3,50,0,4,14.0
736504,812,15.4,0,1,0,97,3,4.2,1,1,8,1,4,0,86,
737023,573,13.18,0,7,0,97,19,3.09,20,0,9,13,15,0,42,100.0
737809,604,13.24,24,16,0,83,17,3.12,4,1,10,6,23,1,56,12.0
833004,651,12.8,21,2,0,100,2,2.9,0,12,4,0,10,0,74,15.0
930073,679,13.56,23,0,0,97,3,3.28,0,1,1,0,3,0,93,7.0
930081,760,14.68,2,0,0,97,3,3.84,2,1,3,1,3,1,90,6.0
932756,717,13.7,16,1,0,93,7,3.35,0,2,1,1,7,0,89,5.0
936302,733,14.12,7,0,0,99,3,3.56,1,3,1,1,5,0,90,5.0
937805,636,13.08,25,12,0,94,13,3.04,1,1,2,4,20,0,73,5.0
1030121,459,10.58,78,15,0,94,10,1.79,1,0,1,0,89,0,9,6.0
1030196,740,14.6,8,6,0,92,10,3.8,3,1,12,2,17,0,64,8.0
1030279,749,14.4,14,4,0,95,9,3.7,10,1,7,1,19,0,61,9.0
1030295,624,10.66,87,31,0,98,2,1.83,4,0,57,1,28,0,11,2.0
1030493,414,10.3,0,30,0,52,41,1.65,0,0,1,0,99,0,0,50.0
1030501,720,13.92,16,5,0,87,17,3.46,2,2,10,1,16,0,69,8.0
1030535,517,11.4,52,8,0,86,14,2.2,1,1,8,0,61,0,30,0.0
1030626,580,12.56,27,7,0,88,18,2.78,8,1,12,2,42,0,36,9.0
1030642,355,11.14,41,18,0,33,56,2.07,16,1,0,0,72,0,12,95.0
1031053,697,13.54,19,8,0,93,8,3.27,3,1,13,1,20,0,62,8.0
1031376,501,11.46,13,9,0,81,19,2.23,1,0,0,0,66,0,32,0.0
1031897,623,12.52,57,19,0,90,8,2.76,27,1,24,1,29,0,18,8.0
1032150,570,11.62,53,16,0,79,21,2.31,1,1,7,0,70,0,22,63.0
1032507,473,11.42,63,30,0,95,6,2.21,9,1,17,0,53,0,20,12.0
1032911,592,12.64,39,15,0,95,5,2.82,10,1,18,1,27,0,42,13.0
1033430,501,11.34,86,33,0,98,3,2.17,0,0,7,0,64,0,29,5.0
1033695,608,12.8,20,9,0,93,4,2.9,0,0,3,0,43,0,54,0.0
1033950,485,10.56,67,37,0,88,19,1.78,2,0,1,1,66,0,30,7.0
1034214,464,10.78,78,38,0,92,10,1.89,9,1,30,0,46,0,13,24.0
1034990,454,10.48,0,62,0,82,12,1.74,0,0,1,0,99,0,0,12.0
1035310,553,11.92,55,20,0,88,11,2.46,1,1,2,2,66,0,28,0.0
1035575,560,10.82,67,31,0,74,19,1.91,3,1,1,1,70,0,25,6.0
1035831,460,10.88,68,36,0,97,8,1.94,8,1,22,0,61,0,8,13.0
1036094,576,12.04,44,9,0,89,14,2.52,0,0,5,0,66,0,27,5.0
1036672,548,12.04,53,22,0,97,3,2.52,1,1,4,0,73,0,20,8.0
1036938,723,13.56,0,0,0,92,15,3.28,0,7,0,0,10,0,83,7.0
1037456,440,9.92,89,40,0,86,14,1.46,0,0,2,0,92,0,6,6.0
1038306,501,11.46,44,7,0,91,16,2.23,18,1,13,0,47,0,22,8.0
1132851,630,12.16,0,8,0,89,4,2.58,1,2,19,0,20,0,57,6.0
1135656,603,12.36,27,11,0,97,0,2.68,1,0,2,0,27,0,70,6.0
1230135,657,13.58,0,0,0,72,27,3.29,0,1,3,5,1,0,47,93.0
1230705,791,14.3,0,0,0,96,4,3.65,1,3,1,0,2,0,92,9.0
1232206,704,13.58,10,7,0,100,0,3.29,1,10,7,0,5,1,77,7.0
1232909,758,13.76,2,0,0,100,0,3.38,0,0,1,0,2,0,97,12.0
1233402,712,12.86,0,1,0,100,2,2.93,0,12,1,0,9,0,77,7.0
1234004,599,12.56,0,0,0,100,0,2.78,0,63,1,0,4,0,31,0.0
1235209,694,13.42,0,0,0,100,0,3.21,1,7,1,0,4,0,87,
1237007,665,12.9,0,0,0,100,5,2.95,0,9,0,0,4,0,85,0.0
1330133,526,12.6,36,27,0,87,10,2.8,1,0,2,0,78,0,19,10.0
1331404,527,11.8,31,30,0,76,26,2.4,2,0,0,0,78,0,19,6.0
1332204,459,11.38,75,57,0,78,25,2.19,0,0,2,0,98,0,0,19.0
1332501,509,11.46,57,21,0,74,26,2.23,6,1,1,1,74,0,18,8.0
1333004,511,12.06,52,26,0,85,15,2.53,3,0,1,0,80,0,14,14.0
1335306,525,12.02,0,40,0,63,41,2.51,0,1,1,1,67,0,30,0.0
1335900,621,12.86,25,19,0,89,17,2.93,4,0,1,0,56,0,38,15.0
1337609,485,11.68,0,27,0,100,6,2.34,2,45,0,0,37,0,17,14.0
1434901,660,12.62,17,6,0,100,0,2.81,0,8,1,0,21,0,70,4.0
1530252,409,10.14,76,37,0,91,26,1.57,0,0,0,0,93,0,6,2.0
1530344,723,14.28,4,1,0,98,5,3.64,4,1,7,1,12,0,75,5.0
1530369,646,13.66,15,4,0,99,15,3.33,2,1,1,0,20,0,77,5.0
1530385,582,12.5,31,8,0,99,16,2.75,8,1,6,1,32,0,52,4.0
1530401,620,11.7,27,0,0,58,42,2.35,1,0,1,0,12,0,82,5.0
1530708,609,13.22,30,10,0,94,8,3.11,15,1,5,1,33,0,45,3.0
1530997,597,12.72,0,0,0,73,27,2.86,0,2,0,1,7,0,89,
1531367,698,13.64,12,3,0,83,14,3.32,3,1,3,2,9,0,81,8.0
1531672,447,10.86,34,40,0,74,26,1.93,1,0,1,17,77,0,4,4.0
1531987,704,13.68,0,0,0,89,11,3.34,17,0,5,4,7,2,65,22.0
1532290,518,11.94,52,15,0,97,13,2.47,6,1,1,0,68,0,25,4.0
1532605,497,11.4,57,14,0,91,17,2.2,4,2,1,1,59,0,34,3.0
1533330,522,12.34,46,14,0,97,5,2.67,8,1,3,1,51,0,35,3.0
1533538,588,12.94,39,0,0,94,16,2.97,0,5,1,0,6,0,89,6.0
1534155,448,10.56,32,45,0,86,17,1.78,0,0,1,0,89,0,10,3.0
1534460,603,12.58,32,7,0,93,14,2.79,15,1,2,3,23,0,57,27.0
1534775,529,12.42,36,4,0,99,16,2.71,1,1,1,0,14,0,83,5.0
1534957,594,12.76,37,2,0,82,21,2.88,8,0,1,1,34,1,56,0.0
1535087,473,11.38,55,28,0,96,18,2.19,1,1,1,0,69,0,29,4.0
1535392,508,11.74,53,14,0,97,16,2.37,16,1,10,1,43,0,29,5.0
1535905,591,12.92,37,4,0,96,8,2.96,0,1,0,1,15,0,82,23.0
1536135,648,13.42,0,1,0,86,14,3.21,2,0,1,0,16,0,80,6.0
1536440,474,10.76,65,24,0,80,22,1.88,4,0,1,0,77,0,18,6.0
1536606,530,12.5,37,6,0,95,14,2.75,15,1,3,1,33,0,48,4.0
1630953,413,10.32,0,29,0,81,22,1.66,1,0,0,0,87,0,13,
1632207,487,11.38,0,11,0,90,15,2.19,4,0,1,1,79,0,16,
1634401,540,12.64,0,5,0,84,17,2.82,6,0,3,2,39,0,51,50.0
1635606,592,12.82,0,3,0,84,16,2.91,8,2,1,8,29,1,50,0.0
1732304,693,13.42,0,2,0,100,0,3.21,2,3,1,0,13,0,81,0.0
1734359,662,12.92,28,3,0,97,3,2.96,1,1,0,0,21,0,77,6.0
1735000,601,12.56,54,2,0,100,12,2.78,5,4,1,1,9,1,78,14.0
1736008,659,13.34,5,0,0,92,12,3.17,1,2,1,0,7,1,88,8.0
1737006,617,12.76,0,0,0,100,0,2.88,3,6,2,0,11,0,78,
1833805,641,13.52,0,0,0,78,13,3.26,1,5,1,1,8,0,84,12.0
1838507,636,12.96,51,0,0,92,0,2.98,0,3,1,0,6,0,89,
1930056,758,14.58,4,4,0,92,7,3.79,7,0,62,8,8,0,14,6.0
1930080,825,15.08,0,2,0,97,3,4.04,1,0,8,1,6,0,84,
1930155,528,11.8,41,24,0,84,18,2.4,0,0,19,1,75,0,5,8.0
1930163,609,12.26,58,34,0,93,7,2.63,1,0,49,2,38,0,11,9.0
1930213,545,12.44,0,4,0,74,25,2.72,22,1,1,2,30,0,43,29.0
1930288,795,14.62,5,15,0,87,13,3.81,1,0,58,0,7,1,33,10.0
1930320,520,11.38,55,24,0,89,15,2.19,1,0,19,1,68,0,10,8.0
1930361,513,11.82,24,24,0,89,10,2.41,15,1,16,5,48,1,14,18.0
1930411,596,12.22,32,33,0,79,21,2.61,1,0,1,1,46,0,51,19.0
1930528,493,11.4,32,30,0,83,10,2.2,2,0,1,2,79,1,15,12.0
1930601,486,11.0,54,11,0,80,18,2.0,1,0,6,3,83,0,6,6.0
1930650,507,10.8,84,21,0,82,12,1.9,10,0,0,2,83,2,3,7.0
1930700,452,10.92,64,26,0,80,17,1.96,2,0,4,2,88,0,4,10.0
1930775,528,12.28,50,17,0,82,16,2.64,22,0,6,5,46,1,21,17.0
1930825,469,10.14,46,42,0,82,19,1.57,0,0,0,0,97,0,2,5.0
1930866,483,10.34,83,33,1,78,17,1.67,0,0,0,0,98,0,1,4.0
1930924,464,10.4,87,45,1,85,13,1.7,2,0,6,3,88,0,1,14.0
1930981,820,15.08,10,6,0,95,8,4.04,5,0,14,1,4,0,77,15.0
1931047,552,12.1,31,21,0,82,8,2.55,10,1,4,3,55,1,27,16.0
1931062,554,10.76,62,14,0,71,29,1.88,30,0,2,2,56,0,9,
1931088,687,13.98,0,1,0,89,13,3.49,6,1,6,1,24,1,61,11.0
1931187,650,13.14,30,17,0,85,20,3.07,2,0,8,3,32,0,55,1.0
1931237,638,13.18,26,10,0,83,21,3.09,2,0,5,4,37,0,52,0.0
1931302,601,12.1,31,9,0,84,15,2.55,1,0,2,1,65,0,29,9.0
1931476,506,11.42,68,31,0,84,14,2.21,6,0,5,2,70,0,16,16.0
1931492,695,13.5,7,6,0,95,4,3.25,3,0,3,1,20,0,72,0.0
1931526,532,12.42,18,9,0,77,18,2.71,20,1,3,25,41,7,5,12.0
1931567,400,10.94,0,23,0,65,33,1.97,42,0,0,0,50,0,0,0.0
1931666,654,13.46,15,5,0,91,7,3.23,4,0,6,3,34,0,53,8.0
1931674,589,12.94,61,25,0,73,32,2.97,21,0,4,3,45,0,27,0.0
1931708,582,12.7,28,21,0,77,20,2.85,11,0,14,2,41,0,32,11.0
1931740,669,14.14,0,2,0,87,19,3.57,2,0,3,1,10,0,83,0.0
1931781,818,15.14,0,3,0,95,8,4.07,2,0,11,0,4,0,83,33.0
1931823,749,14.7,12,7,0,85,16,3.85,11,0,14,1,17,0,57,8.0
1931864,604,12.5,68,27,0,74,11,2.75,11,1,12,3,50,0,23,13.0
1931880,966,15.38,2,0,0,93,2,4.19,3,0,67,9,8,0,13,5.0
1931963,410,10.86,0,27,0,72,24,1.93,37,0,0,0,61,2,0,15.0
1932086,613,12.92,29,7,0,70,21,2.96,6,0,8,2,51,0,33,55.0
1932128,459,12.48,62,9,0,73,20,2.74,78,0,1,0,20,0,0,13.0
1932144,759,14.32,11,12,0,92,8,3.66,0,0,22,2,9,0,67,9.0
1932201,649,13.42,0,10,0,89,14,3.21,20,0,11,2,38,1,28,10.0
1932326,383,10.9,0,28,0,69,31,1.95,37,0,0,0,62,1,0,4.0
1932383,439,12.08,58,16,0,75,19,2.54,70,0,0,0,29,0,1,20.0
1932441,585,12.66,0,19,0,84,16,2.83,6,1,7,2,59,1,25,14.0
1932482,503,11.76,33,4,0,74,29,2.38,13,0,2,4,62,0,19,8.0
1932540,611,12.74,48,18,0,83,13,2.87,2,1,8,17,60,0,13,22.0
1932623,716,13.7,17,13,0,82,16,3.35,8,1,14,2,25,0,50,9.0
1932664,453,10.3,73,36,0,83,16,1.65,0,0,16,0,81,0,2,10.0
1932680,459,10.42,67,22,0,87,13,1.71,0,0,7,1,89,0,2,11.0
1932706,484,11.52,30,31,0,77,21,2.26,0,0,1,1,94,0,3,7.0
1932763,775,13.76,9,10,0,93,11,3.38,4,1,8,0,17,1,69,10.0
1932862,768,14.84,0,8,0,94,6,3.92,6,0,47,4,12,1,30,7.0
1932888,595,11.62,70,20,0,88,5,2.31,16,1,24,3,48,0,8,13.0
1932920,545,12.58,54,33,0,84,13,2.79,21,0,12,2,48,0,16,24.0
1932987,468,10.44,76,37,1,79,15,1.72,2,0,3,3,87,0,5,8.0
1933001,630,13.42,46,4,0,66,22,3.21,72,0,4,1,22,0,1,73.0
1933043,506,10.66,80,28,1,78,17,1.83,2,0,6,3,85,0,2,17.0
1933118,399,10.02,70,52,1,77,19,1.51,11,0,0,0,89,0,0,6.0
1933159,599,13.32,15,11,0,83,17,3.16,14,0,25,8,29,1,22,13.0
1933175,463,10.58,72,48,0,92,8,1.79,10,0,3,1,81,0,4,11.0
1933241,488,11.78,57,18,0,78,15,2.39,45,0,6,2,44,1,3,13.0
1933324,473,10.38,71,49,0,85,15,1.69,6,0,11,0,80,0,2,8.0
1933381,484,10.14,81,34,1,83,13,1.57,0,0,0,0,99,0,0,3.0
1933449,485,11.52,31,24,0,84,14,2.26,3,0,1,2,77,0,16,6.0
1933530,585,13.14,56,37,0,87,10,3.07,1,0,9,7,24,0,59,12.0
1933597,735,14.2,7,3,0,84,26,3.6,1,0,4,1,14,0,78,6.0
1933647,471,11.22,1,20,0,83,17,2.11,6,0,5,4,74,1,9,10.0
1933746,724,13.76,20,9,0,81,16,3.38,6,1,24,3,26,0,40,10.0
1933795,556,13.0,41,27,0,83,13,3.0,6,0,4,3,51,0,35,13.0
1933852,606,13.22,21,14,0,92,6,3.11,40,0,5,1,33,1,20,16.0
1933902,666,13.82,0,12,0,85,15,3.41,2,0,6,2,25,0,65,0.0
1933951,446,11.14,48,11,0,75,27,2.07,11,0,2,2,75,2,7,6.0
1934033,486,11.22,66,44,1,79,17,2.11,8,0,2,2,63,0,24,16.0
1934082,606,13.0,55,34,0,80,19,3.0,1,0,11,5,22,0,60,9.0
1934157,454,10.14,84,29,1,89,8,1.57,1,0,1,0,98,0,0,7.0
1934231,433,11.36,0,36,0,75,27,2.18,41,0,0,0,56,0,1,0.0
1934371,413,9.62,64,52,1,73,25,1.31,7,0,1,0,93,0,0,8.0
1934454,410,10.18,68,40,0,69,21,1.59,23,0,0,0,77,0,0,12.0
1934470,472,11.54,52,28,0,81,21,2.27,31,0,14,3,42,4,5,17.0
1934553,646,12.26,57,34,0,91,9,2.63,0,0,68,1,26,0,4,10.0
1934611,858,15.8,0,4,0,93,6,4.4,1,0,29,1,3,0,67,5.0
1934678,592,12.48,31,19,0,81,15,2.74,11,0,11,4,38,1,36,13.0
1934728,655,13.2,0,7,0,83,17,3.1,4,0,8,3,40,1,44,8.0
1934801,456,11.1,0,18,0,84,19,2.05,1,0,3,1,90,0,4,2.0
1934868,600,13.16,13,22,0,91,9,3.08,1,0,3,1,54,0,41,9.0
1934926,448,12.04,50,4,0,54,54,2.52,32,0,2,1,53,2,9,
1935048,432,11.2,48,15,0,84,20,2.1,28,1,7,1,58,1,3,10.0
1935121,468,10.1,79,40,0,80,14,1.55,2,0,19,0,79,0,0,10.0
1935154,380,10.9,62,33,0,73,20,1.95,44,0,0,0,56,0,0,18.0
1935246,590,13.44,0,14,0,87,16,3.22,2,0,30,3,47,1,17,1.0
1935352,445,10.8,68,42,1,79,14,1.9,14,0,8,2,73,0,2,14.0
1935436,451,10.8,0,10,0,88,13,1.9,15,0,0,0,83,0,0,50.0
1935519,414,10.3,75,41,1,76,21,1.65,21,0,0,0,79,0,0,13.0
1935568,535,11.86,47,32,1,78,17,2.43,3,0,10,10,63,0,14,6.0
1935618,623,13.26,25,3,0,75,30,3.13,15,0,7,4,25,1,47,10.0
1935758,586,12.32,35,27,0,90,8,2.66,10,1,11,5,44,1,29,11.0
1935808,766,14.82,0,5,0,96,6,3.91,3,0,6,0,14,0,76,40.0
1935865,498,11.2,65,37,1,76,20,2.1,7,0,5,5,74,0,9,15.0
1935923,569,12.72,25,9,0,80,16,2.86,14,0,2,2,42,0,37,10.0
1935998,471,11.34,46,30,0,87,14,2.17,1,0,2,0,90,0,6,7.0
1936046,449,11.26,0,24,0,91,9,2.13,38,0,0,0,60,1,0,11.0
1936103,495,12.8,51,19,0,75,28,2.9,50,0,1,1,40,0,8,50.0
1936160,591,12.22,46,15,0,85,12,2.61,18,1,7,8,50,2,14,7.0
1936228,556,11.92,47,18,0,93,9,2.46,8,0,7,12,65,0,7,8.0
1936277,680,13.58,17,12,0,85,18,3.29,8,0,35,2,22,1,31,8.0
1936350,553,11.86,59,28,0,84,13,2.43,5,0,6,1,68,0,19,8.0
1936418,564,12.26,41,5,0,76,17,2.63,6,1,5,3,57,0,28,60.0
