local_govt_area,city_or_state,number_households,net_worth_per_hh,income_per_taxpayer,assets_per_hh,liabilities_per_household,debt_to_asset_ratio,net_owner_occ_housing
Pine Rivers (S),Brisbane,47061,408.6,44420,495.4,86.7,0.175,179.5
Guyra (A),NSW Bal.,1742,407.0,37170,442.5,35.6,0.08,56.5
Quirindi (A),NSW Bal.,2026,406.6,40296,441.3,34.7,0.079,68.1
Alpine (S),VIC Bal.,5114,406.4,37560,443.8,37.4,0.084,104.5
Greater Geelong (C),VIC Bal.,78757,405.7,43715,458.1,52.4,0.114,175.6
Corowa (A),NSW Bal.,3665,405.4,41216,447.9,42.5,0.095,119.6
Beaudesert (S),Brisbane,20373,405.4,39641,492.5,87.2,0.177,179.1
East Gippsland (S),VIC Bal.,17267,405.3,37168,440.2,34.9,0.079,142.2
Dalrymple (S),QLD Bal.,1349,405.2,43639,456.0,50.8,0.111,65.7
Forbes (A),NSW Bal.,3854,405.0,37259,442.4,37.5,0.085,90.1
Coonabarabran (A),NSW Bal.,2735,404.7,36991,437.6,32.9,0.075,66.8
Katanning (S),WA Bal.,1590,404.7,41779,447.4,42.7,0.095,53.2
Tumbarumba (A),NSW Bal.,1434,403.6,40644,435.6,31.9,0.073,68.0
Whittlesea (C),Melbourne,39496,403.1,40006,478.4,75.3,0.157,191.9
Narromine (A),NSW Bal.,2679,403.0,38564,441.0,38.0,0.086,68.2
Berrigan (A),NSW Bal.,3326,402.8,38394,440.4,37.6,0.085,78.2
Mundaring (S),Perth,12462,402.6,44485,481.4,78.8,0.164,170.3
Cambooya (S),QLD Bal.,1851,401.5,39536,480.4,78.8,0.164,133.8
Vincent (T),Perth,12554,401.1,52937,477.0,75.9,0.159,166.2
Sydney (C),Sydney,16391,400.4,58320,472.9,72.5,0.153,136.3
Melbourne (C),Melbourne,29511,400.4,61220,464.2,63.9,0.138,106.9
Yarra (C),Melbourne,31873,400.4,54421,478.5,78.1,0.163,145.2
Young (A),NSW Bal.,4655,400.3,37829,437.3,37.0,0.085,116.8
The Coorong (DC),SA Bal.,2438,399.8,37538,435.6,35.8,0.082,75.9
Wangaratta (RC),VIC Bal.,10571,399.5,39267,439.5,40.0,0.091,117.7
Mount Barker (DC),Adelaide,9660,399.4,41913,472.6,73.3,0.155,162.9
Oberon (A),NSW Bal.,1954,399.3,44443,454.4,55.1,0.121,119.3
Parry (A),NSW Bal.,4691,399.3,39123,450.7,51.4,0.114,103.0
Balonne (S),QLD Bal.,1993,398.9,37495,443.2,44.3,0.1,46.2
Greater Shepparton (C),VIC Bal.,22104,398.7,38651,448.5,49.8,0.111,112.7
Greenough (S),WA Bal.,4410,398.1,42173,473.8,75.7,0.16,109.7
Waroona (S),WA Bal.,1407,397.9,46708,458.0,60.0,0.131,114.1
Horsham (RC),VIC Bal.,7527,397.8,39186,433.8,36.0,0.083,117.1
Clifton (S),QLD Bal.,981,397.7,35830,439.0,41.3,0.094,55.7
Glenelg (S),VIC Bal.,8204,397.1,41906,433.1,36.0,0.083,108.0
Kilkivan (S),QLD Bal.,1359,396.7,37461,440.0,43.4,0.099,86.8
Campbelltown (C),Adelaide,19068,396.5,42626,444.4,47.9,0.108,171.2
Woocoo (S),QLD Bal.,1170,396.3,37421,452.0,55.7,0.123,140.8
Blacktown (C),Sydney,89433,395.7,43144,500.3,104.5,0.209,191.9
Pristine Waters (A),NSW Bal.,4450,393.0,37509,436.9,43.9,0.1,145.2
Kalamunda (S),Perth,17585,392.1,44313,465.5,73.3,0.157,157.3
Swan Hill (RC),VIC Bal.,8126,392.0,36792,424.7,32.7,0.077,88.8
Murilla (S),QLD Bal.,1125,390.6,36651,428.6,38.0,0.089,40.7
Nambucca (A),NSW Bal.,7708,390.3,35853,426.7,36.4,0.085,165.1
Jondaryan (S),QLD Bal.,4553,389.9,39527,454.9,65.0,0.143,118.5
Wellington (S),VIC Bal.,16173,388.6,40293,432.4,43.8,0.101,103.0
Clarence (C),Hobart,19512,387.8,41791,435.0,47.3,0.109,160.1
Mirani (S),QLD Bal.,1905,387.4,42481,441.3,53.8,0.122,67.4
Cooma-Monaro (A),NSW Bal.,4026,387.3,41725,434.7,47.3,0.109,106.8
Narrandera (A),NSW Bal.,2580,386.8,39532,426.7,39.9,0.094,67.1
Blayney (A),NSW Bal.,2550,386.6,41425,435.8,49.2,0.113,101.6
Dardanup (S),WA Bal.,3409,386.1,43711,465.8,79.8,0.171,115.4
Maitland (C),NSW Bal.,21662,385.6,45776,447.9,62.3,0.139,184.2
Kempsey (A),NSW Bal.,11332,385.3,36353,423.7,38.4,0.091,172.2
Stirling (C),Perth,78367,384.6,46135,449.4,64.7,0.144,162.5
Wagga Wagga (C),NSW Bal.,21234,383.7,43102,437.7,53.9,0.123,126.9
Monto (S),QLD Bal.,1093,382.7,33111,415.8,33.2,0.08,40.9
Warrnambool (C),VIC Bal.,11826,382.5,39521,425.7,43.2,0.101,155.5
Narrabri (A),NSW Bal.,5481,381.8,40765,421.5,39.7,0.094,84.5
Uralla (A),NSW Bal.,2371,381.2,38385,424.2,43.0,0.101,76.2
Boonah (S),QLD Bal.,3278,380.4,37237,426.8,46.4,0.109,121.8
Copper Coast (DC),SA Bal.,4817,379.6,39744,415.3,35.7,0.086,136.5
Tara (S),QLD Bal.,1655,379.3,36593,410.2,30.9,0.075,34.0
Cowra (A),NSW Bal.,5216,378.2,38094,412.8,34.6,0.084,108.1
Burnett (S),QLD Bal.,9849,378.1,38432,430.7,52.6,0.122,149.7
Bingara (A),NSW Bal.,939,376.9,35667,400.3,23.3,0.058,67.6
Charles Sturt (C),Adelaide,44314,376.7,42861,424.5,47.7,0.112,170.5
Barraba (A),NSW Bal.,983,376.4,34971,402.4,26.0,0.065,78.2
Cootamundra (A),NSW Bal.,3054,376.2,39740,410.8,34.6,0.084,94.6
South Sydney (C),Sydney,50426,376.1,57203,461.9,85.7,0.186,135.8
Lismore (C),NSW Bal.,16672,373.4,37438,423.8,50.4,0.119,147.3
Brimbank (C),Melbourne,56414,372.1,40585,440.1,68.0,0.155,173.9
Orange (C),NSW Bal.,13930,372.0,44914,429.2,57.3,0.134,144.8
Redcliffe (C),Brisbane,22412,371.7,40730,424.9,53.2,0.125,164.0
Carnarvon (S),WA Bal.,2293,371.7,41012,415.9,44.1,0.106,29.2
Junee (A),NSW Bal.,1984,371.6,40084,408.3,36.7,0.09,77.3
Pittsworth (S),QLD Bal.,1715,371.1,37855,425.1,54.0,0.127,66.4
Frankston (C),Melbourne,45471,370.8,41207,446.6,75.8,0.17,162.3
Parkes (A),NSW Bal.,5846,369.7,40173,414.6,44.9,0.108,94.3
Richmond Valley (A),NSW Bal.,8203,369.1,36117,411.3,42.3,0.103,150.4
Leeton (A),NSW Bal.,4374,368.7,40477,420.6,51.9,0.123,92.8
Nebo (S),QLD Bal.,696,368.7,64621,414.7,45.9,0.111,35.1
Broome (S),WA Bal.,4666,368.7,44227,430.4,61.7,0.143,68.3
Moree Plains (A),NSW Bal.,5922,368.6,43292,411.1,42.5,0.103,69.0
Loxton Waikerie (DC),SA Bal.,4841,368.5,36593,409.7,41.1,0.1,97.0
Greater Bendigo (C),VIC Bal.,36420,366.9,38977,410.3,43.4,0.106,134.8
Livingstone (S),QLD Bal.,10565,366.0,43542,426.7,60.7,0.142,142.0
Mid Murray (DC),SA Bal.,3601,366.0,36052,406.9,40.9,0.101,122.3
Roebourne (S),WA Bal.,5387,364.9,63020,435.1,70.2,0.161,51.0
Darwin (C),NT,25373,364.6,48944,454.3,89.7,0.197,117.4
Narrogin (T),WA Bal.,1618,364.1,41823,411.8,47.7,0.116,63.6
Maribyrnong (C),Melbourne,25566,363.7,42916,433.5,69.7,0.161,173.5
Tenterfield (A),NSW Bal.,2856,363.3,35307,398.4,35.1,0.088,69.1
Whitsunday (S),QLD Bal.,6239,363.0,38805,420.6,57.6,0.137,107.9
Mildura (RC),VIC Bal.,19464,362.8,37305,404.7,41.8,0.103,99.8
Scone (A),NSW Bal.,3914,362.1,47427,411.4,49.3,0.12,94.0
Casey (C),Melbourne,69174,361.8,42312,456.4,94.6,0.207,158.1
Canning (C),Perth,29513,361.7,43355,429.0,67.3,0.157,160.7
Northern Grampians (S),VIC Bal.,5262,361.2,37346,394.1,33.0,0.084,81.6
Wellington (A),NSW Bal.,3450,360.4,37752,395.2,34.8,0.088,73.3
Ballarat (C),VIC Bal.,33463,360.0,41132,408.0,48.0,0.118,132.6
Bathurst (C),NSW Bal.,11548,359.8,44518,421.7,62.0,0.147,137.5
Hinchinbrook (S),QLD Bal.,4862,359.8,39727,395.8,36.0,0.091,64.7
Campbelltown (C),Sydney,48232,359.2,42564,456.6,97.4,0.213,162.4
Rylstone (A),NSW Bal.,1575,359.1,43047,389.5,30.4,0.078,81.8
Armidale Dumaresq (A),NSW Bal.,8892,359.0,41565,406.3,47.3,0.116,100.9
Kyogle (A),NSW Bal.,3785,358.8,36025,398.4,39.6,0.099,91.8
Millmerran (S),QLD Bal.,1190,357.5,36632,394.0,36.5,0.093,42.4
Hay (A),NSW Bal.,1435,356.9,36593,387.5,30.6,0.079,56.4
Port Lincoln (C),SA Bal.,5640,356.5,42482,408.9,52.4,0.128,137.5
West Torrens (C),Adelaide,24311,356.3,41666,402.5,46.2,0.115,157.6
Rosalie (S),QLD Bal.,3204,354.3,39132,415.7,61.4,0.148,69.8
Gunnedah (A),NSW Bal.,4766,354.0,39469,394.2,40.2,0.102,71.9
Glamorgan/Spring Bay (M),TAS Bal.,1893,353.5,37274,376.0,22.5,0.06,161.1
Isis (S),QLD Bal.,2606,352.9,37245,394.1,41.2,0.105,107.5
Peak Downs (S),QLD Bal.,1043,352.7,60447,401.0,48.4,0.121,24.8
Hume (C),Melbourne,46141,352.5,41429,435.8,83.3,0.191,159.9
Burdekin (S),QLD Bal.,7198,351.6,39940,393.2,41.5,0.106,44.4
Belyando (S),QLD Bal.,3751,351.4,62621,395.8,44.4,0.112,59.2
Mitchell (S),VIC Bal.,11075,350.9,41372,411.8,60.9,0.148,127.0
Albury (C),NSW Bal.,18024,350.1,44453,403.2,53.1,0.132,126.9
Caboolture (S),Brisbane,46524,349.9,38543,412.8,62.8,0.152,151.4
Goulburn (C),NSW Bal.,8235,348.4,42677,396.1,47.7,0.12,142.8
Wyndham (C),Melbourne,35955,348.2,43959,437.1,88.8,0.203,144.1
West Tamar (M),TAS Bal.,8163,347.6,41465,383.4,35.8,0.093,147.2
Tea Tree Gully (C),Adelaide,36706,347.5,41447,413.0,65.5,0.159,149.9
Bayswater (C),Perth,24158,347.5,43029,410.8,63.3,0.154,140.7
Banana (S),QLD Bal.,5102,346.9,46864,398.2,51.3,0.129,52.1
Wodonga (RC),VIC Bal.,12790,345.1,41275,400.2,55.1,0.138,123.0
Miriam Vale (S),QLD Bal.,2201,344.8,37974,385.4,40.6,0.105,131.3
Broadsound (S),QLD Bal.,2183,344.6,64318,391.5,46.9,0.12,27.4
Bunbury (C),WA Bal.,12235,344.6,44355,405.6,61.0,0.15,114.8
Chinchilla (S),QLD Bal.,2320,344.4,36747,384.0,39.6,0.103,57.8
Tamworth (C),NSW Bal.,14229,344.0,41907,391.2,47.2,0.121,122.0
Marion (C),Adelaide,34265,343.2,40642,395.7,52.5,0.133,151.4
Dubbo (C),NSW Bal.,14225,341.3,42677,398.4,57.1,0.143,104.5
Alice Springs (T),NT,9085,341.1,44769,431.1,90.1,0.209,96.0
Cooloola (S),QLD Bal.,13976,339.9,37297,389.2,49.3,0.127,127.5
Greater Dandenong (C),Melbourne,44704,339.8,38315,391.3,51.5,0.132,149.7
Kilcoy (S),QLD Bal.,1357,339.2,37711,387.5,48.3,0.125,119.9
Meander Valley (M),TAS Bal.,7290,338.6,39145,372.9,34.3,0.092,129.4
Cessnock (C),NSW Bal.,17960,337.2,43969,385.8,48.7,0.126,161.8
Brewarrina (A),NSW Bal.,722,337.1,38500,366.8,29.6,0.081,66.8
Walgett (A),NSW Bal.,3458,336.7,38216,366.9,30.2,0.082,44.3
Inverell (A),NSW Bal.,6247,335.7,37051,373.6,37.8,0.101,66.1
Flinders Ranges (DC),SA Bal.,710,335.5,39470,373.2,37.6,0.101,56.7
Manilla (A),NSW Bal.,1311,333.9,35979,365.4,31.5,0.086,73.0
Hervey Bay (C),QLD Bal.,20135,333.6,37587,379.3,45.7,0.12,145.4
Renmark Paringa (DC),SA Bal.,3838,333.0,36880,376.7,43.7,0.116,82.5
Cockburn (C),Perth,26915,331.5,43126,407.2,75.7,0.186,143.1
Eacham (S),QLD Bal.,2505,330.7,37712,385.2,54.4,0.141,87.0
Muswellbrook (A),NSW Bal.,5665,330.0,51404,390.1,60.1,0.154,94.4
Tumut (A),NSW Bal.,4567,329.6,41894,369.6,39.9,0.108,86.5
Stanthorpe (S),QLD Bal.,4221,329.6,33496,369.9,40.3,0.109,79.9
Calliope (S),QLD Bal.,5661,328.2,50633,403.0,74.8,0.186,117.4
Northam (T),WA Bal.,2421,327.6,39741,376.9,49.3,0.131,63.8
Inglewood (S),QLD Bal.,1144,327.0,35466,359.4,32.4,0.09,34.6
Cardwell (S),QLD Bal.,3986,324.5,37576,369.3,44.8,0.121,88.3
Tiaro (S),QLD Bal.,1990,324.1,37448,371.4,47.3,0.127,94.9
Murweh (S),QLD Bal.,1900,323.5,37222,362.5,39.0,0.108,38.9
Central Goldfields (S),VIC Bal.,5491,322.9,34839,353.5,30.6,0.087,98.9
Wondai (S),QLD Bal.,1778,322.8,35164,363.7,40.9,0.112,58.1
Port Hedland (T),WA Bal.,4294,321.4,59006,386.6,65.2,0.169,41.5
Kingaroy (S),QLD Bal.,4575,321.2,39638,375.0,53.8,0.143,83.4
Cobar (A),NSW Bal.,1977,320.7,49259,363.8,43.1,0.118,44.9
Esk (S),QLD Bal.,5774,318.9,39072,376.1,57.2,0.152,108.3
Dorset (M),TAS Bal.,3054,316.7,37221,345.0,28.4,0.082,95.6
Sarina (S),QLD Bal.,3866,316.4,45229,376.6,60.2,0.16,89.4
Greater Lithgow (C),NSW Bal.,8123,316.0,46178,366.2,50.2,0.137,122.6
Douglas (S),QLD Bal.,4606,315.6,36694,361.5,45.9,0.127,107.4
Biggenden (S),QLD Bal.,661,315.3,36043,347.5,32.2,0.093,64.2
Fitzroy (S),QLD Bal.,3590,315.3,43084,377.0,61.7,0.164,74.9
Atherton (S),QLD Bal.,4343,314.9,37667,359.0,44.1,0.123,85.2
Gatton (S),QLD Bal.,5688,314.4,37976,368.9,54.6,0.148,100.8
Break O'Day (M),TAS Bal.,2581,314.2,35004,336.1,21.9,0.065,122.9
Onkaparinga (C),Adelaide,58472,314.1,39077,372.4,58.4,0.157,133.5
Grafton (C),NSW Bal.,6662,313.9,38790,359.0,45.1,0.126,110.1
Mackay (C),QLD Bal.,29886,313.9,45739,375.9,62.0,0.165,97.1
Berri and Barmera (DC),SA Bal.,4523,313.7,37397,361.2,47.6,0.132,77.8
Murray Bridge (RC),SA Bal.,7118,312.9,35991,356.8,43.9,0.123,113.1
Bassendean (T),Perth,5768,312.7,40229,374.7,61.9,0.165,138.6
Toowoomba (C),QLD Bal.,35590,312.6,41589,367.0,54.4,0.148,107.8
Warwick (S),QLD Bal.,8316,312.2,35759,359.3,47.1,0.131,76.0
Mount Gambier (C),SA Bal.,9558,311.9,41490,363.7,51.8,0.142,113.4
Mundubbera (S),QLD Bal.,1015,311.4,35158,348.6,37.2,0.107,30.0
Gayndah (S),QLD Bal.,1189,310.4,36312,347.6,37.2,0.107,43.5
Mareeba (S),QLD Bal.,6904,310.4,37509,356.3,45.9,0.129,86.0
Melton (S),Melbourne,23233,309.8,41128,414.1,104.2,0.252,135.4
Northern Midlands (M),TAS Bal.,4837,308.1,39844,336.3,28.1,0.084,99.1
Goondiwindi (T),QLD Bal.,1855,307.0,39657,360.6,53.6,0.149,64.4
Gawler (M),Adelaide,7562,306.1,41625,359.5,53.4,0.149,113.5
Latrobe (M),TAS Bal.,3542,305.8,39885,335.0,29.2,0.087,112.6
Emerald (S),QLD Bal.,5018,305.5,50739,368.3,62.8,0.171,55.4
Mallala (DC),SA Bal.,2806,305.5,39672,375.3,69.8,0.186,79.9
Johnstone (S),QLD Bal.,7454,304.8,37684,346.4,41.6,0.12,66.6
Tasman (M),TAS Bal.,945,304.6,34448,328.1,23.5,0.072,97.7
Swan (C),Perth,31763,304.0,41384,381.8,77.8,0.204,110.8
Deniliquin (A),NSW Bal.,3268,302.3,38539,347.9,45.6,0.131,76.8
Sorell (M),Hobart,4952,301.2,37036,348.0,46.8,0.134,102.8
Huon Valley (M),TAS Bal.,5634,300.4,36001,328.6,28.3,0.086,120.8
Townsville (C),QLD Bal.,37065,300.3,45257,363.0,62.8,0.173,88.0
Roxby Downs (M),SA Bal.,1321,299.0,63739,391.3,92.4,0.236,42.5
Southern Midlands (M),TAS Bal.,2240,298.1,36404,327.1,29.0,0.089,92.2
Rockingham (C),Perth,30603,297.7,44247,369.2,71.5,0.194,124.2
Circular Head (M),TAS Bal.,3270,297.5,38293,324.1,26.6,0.082,87.3
Wanneroo (C),Perth,34172,297.1,39646,379.2,82.1,0.217,123.4
Kalgoorlie/Boulder (C),WA Bal.,10561,295.9,52491,384.5,88.7,0.231,49.2
Cairns (C),QLD Bal.,49062,295.8,41707,361.9,66.1,0.183,88.6
Kolan (S),QLD Bal.,1746,294.1,32743,334.5,40.4,0.121,75.8
Belmont (C),Perth,13534,294.0,40764,351.9,57.9,0.165,124.7
Bowen (S),QLD Bal.,5167,293.5,40496,331.3,37.8,0.114,65.2
Perth (C),Perth,5309,292.2,58760,351.7,59.5,0.169,45.2
Gosnells (C),Perth,32053,291.4,40070,362.4,71.0,0.196,118.8
Central Coast (M),TAS Bal.,8374,289.7,39259,317.4,27.7,0.087,110.3
Collie (S),WA Bal.,3414,288.3,49635,341.0,52.7,0.155,61.8
Geraldton (C),WA Bal.,7429,287.9,41817,334.7,46.7,0.14,70.3
Glen Innes (A),NSW Bal.,2482,287.0,36363,322.4,35.4,0.11,72.8
Cloncurry (S),QLD Bal.,1130,285.9,50710,331.5,45.6,0.138,25.2
Armadale (C),Perth,18876,284.8,40387,348.7,63.9,0.183,103.2
Duaringa (S),QLD Bal.,2795,284.3,58344,326.0,41.7,0.128,26.7
Logan (C),Brisbane,60415,283.7,38934,347.0,63.4,0.183,109.1
Victoria Park (T),Perth,13449,282.7,42872,342.6,60.0,0.175,108.1
Latrobe (C),VIC Bal.,27659,280.4,43412,320.9,40.5,0.126,92.0
Ipswich (C),Brisbane,48618,278.0,39665,336.1,58.1,0.173,103.1
Devonport (C),TAS Bal.,10290,275.8,38770,300.5,24.7,0.082,113.2
Maryborough (C),QLD Bal.,10324,275.6,37647,316.4,40.7,0.129,100.3
Port Adelaide Enfield (C),Adelaide,44987,275.5,39482,319.4,43.9,0.137,119.9
Gladstone (C),QLD Bal.,10861,274.9,50955,341.7,66.7,0.195,85.9
Peterborough (DC),SA Bal.,878,272.5,34287,302.4,29.9,0.099,55.7
Central Highlands (M),TAS Bal.,957,272.1,37331,289.9,17.8,0.061,70.3
Nanango (S),QLD Bal.,3552,271.7,38781,314.3,42.6,0.136,73.2
Glenorchy (C),Hobart,18810,271.7,36947,305.1,33.4,0.109,105.8
Bundaberg (C),QLD Bal.,17755,271.6,38593,316.0,44.4,0.141,87.9
Launceston (C),TAS Bal.,26819,271.5,40348,299.3,27.8,0.093,103.0
Port Pirie City and Dists (M),SA Bal.,7186,269.6,39428,309.4,39.7,0.128,73.7
Kentish (M),TAS Bal.,2184,267.2,35741,294.8,27.6,0.094,82.3
Laidley (S),QLD Bal.,4875,266.5,36499,326.6,60.1,0.184,83.4
Dalby (T),QLD Bal.,3766,265.3,38711,314.0,48.7,0.155,54.0
Katherine (T),NT,2905,264.3,44913,325.0,60.7,0.187,31.6
Waratah/Wynyard (M),TAS Bal.,5410,263.0,38533,288.4,25.4,0.088,88.9
Roma (T),QLD Bal.,2502,261.3,41490,311.2,49.9,0.16,40.2
Salisbury (C),Adelaide,44037,260.3,37928,311.8,51.6,0.165,107.1
Thuringowa (C),QLD Bal.,18948,258.9,42362,340.7,81.8,0.24,75.0
Broken Hill (C),NSW Bal.,8755,255.2,42225,286.9,31.7,0.11,71.7
Coolgardie (S),WA Bal.,1418,253.4,60680,319.7,66.3,0.207,23.2
Herberton (S),QLD Bal.,2193,252.5,36426,292.4,40.0,0.137,53.4
Burnie (C),TAS Bal.,7919,247.8,40736,272.4,24.6,0.09,87.0
Rockhampton (C),QLD Bal.,22563,244.4,41986,293.5,49.1,0.167,62.2
Charters Towers (C),QLD Bal.,3058,241.9,43977,286.4,44.5,0.155,43.1
Mount Isa (C),QLD Bal.,7294,235.8,50463,305.0,69.2,0.227,23.5
Derwent Valley (M),Hobart,3590,234.2,37667,269.2,35.0,0.13,71.4
Murgon (S),QLD Bal.,1653,233.7,34910,269.0,35.4,0.132,36.4
Port Augusta (C),SA Bal.,5459,233.6,41110,274.1,40.4,0.147,61.6
George Town (M),TAS Bal.,2806,233.5,41162,258.6,25.0,0.097,78.1
Kwinana (T),Perth,8245,225.7,40610,288.6,62.9,0.218,84.6
West Coast (M),TAS Bal.,2138,223.5,42688,241.4,17.9,0.074,53.0
Palmerston (C),NT,7884,220.0,44961,323.4,103.4,0.32,48.9
Playford (C),Adelaide,26620,214.4,37663,260.6,46.3,0.178,76.8
Brighton (M),Hobart,4692,211.6,38193,253.6,42.0,0.166,57.3
Whyalla (C),SA Bal.,9269,202.1,44598,253.7,51.6,0.203,48.7
Mount Morgan (S),QLD Bal.,1345,154.3,38076,178.8,24.5,0.137,37.6
