name,discharges,meancharge,medcharge,meancost,medcost
Adirondack Medical Center-Saranac Lake Site,44,34620,32477,22109,20771
Albany Medical Center Hospital,161,35916,32120,19982,17960
Albany Memorial Hospital,39,30890,25580,9362,7840
Alice Hyde Medical Center,18,34255,31499,13022,12202
Arnot Ogden Medical Center,130,20549,18943,8127,7599
Auburn Community Hospital,41,32670,33102,11025,10962
Bellevue Hospital Center,16,15628,14861,11862,11280
Benedictine Hospital,145,41854,35954,17272,15150
Beth Israel Med Center-Kings Hwy Div,15,58144,61071,13211,14214
Beth Israel Medical Center/Petrie Campus,260,64836,59124,22907,20791
Bon Secours Community Hospital,4,81519,81415,34251,34745
Bronx-Lebanon Hospital Center - Concourse Division,47,28037,26406,30516,27799
Brookdale Hospital Medical Center,6,39205,39068,31028,31704
Brookhaven Memorial Hospital Medical Center Inc,35,77982,71297,18299,16700
Brooklyn Hospital Center - Downtown Campus,13,45747,42309,22941,21324
Brooks Memorial Hospital,65,19625,17554,11914,10663
Buffalo General Medical Center,446,40625,36365,16271,14565
Canton-Potsdam Hospital,50,31006,31374,17769,17961
Catskill Regional Medical Center,11,32588,32262,21301,21683
Cayuga Medical Center at Ithaca,74,25220,23703,15123,14537
Champlain Valley Physicians Hospital Medical Center,116,41202,42217,15991,16144
Chenango Memorial Hospital Inc,33,44261,43807,12468,11490
Claxton-Hepburn Medical Center,10,30491,29862,9974,9825
Clifton Springs Hospital and Clinic,52,27606,26469,11285,10654
Columbia Memorial Hospital,29,35322,32766,17221,15920
Community Memorial Hospital Inc,164,24822,23646,12769,12224
Coney Island Hospital,16,19324,19500,13574,13697
Corning Hospital,50,35431,34994,15707,15184
Cortland Regional Medical Center Inc,3,26318,25804,15318,14830
Crouse Hospital,259,27017,25496,13852,13113
Degraff Memorial Hospital,30,33358,27532,13361,11027
Eastern Long Island Hospital,7,48020,44155,11085,9670
Eastern Niagara Hospital - Lockport Division,4,16549,15971,10854,10542
Ellis Hospital,165,65588,58919,15755,14152
Elmhurst Hospital Center,18,22859,22691,15608,15492
Erie County Medical Center,53,27855,26628,13844,13334
Faxton-St Lukes Healthcare St Lukes Division,76,41948,38715,22801,20893
F F Thompson Hospital,164,25738,25654,14479,14358
Flushing Hospital Medical Center,15,38289,34898,22043,19754
Forest Hills Hospital,103,49648,43249,19445,16669
Franklin Hospital,125,56220,52830,20348,18990
Geneva General Hospital,48,25722,22933,16062,14390
Glen Cove Hospital,371,50464,42383,18835,15598
Glens Falls Hospital,178,32430,31205,15328,15060
Good Samaritan Hospital Medical Center,62,76706,69928,26642,24019
Good Samaritan Hospital of Suffern,32,80024,72166,15884,14215
Highland Hospital,321,22548,21044,10824,10065
Hospital for Special Surgery,1730,59473,55180,22794,21153
Hudson Valley Hospital Center,89,113524,92801,48887,40210
Huntington Hospital,132,48653,40919,16491,14220
Interfaith Medical Center,2,39124,39124,22667,22667
Jacobi Medical Center,20,14920,13117,12329,10839
Jamaica Hospital Medical Center,24,54620,44858,18754,16270
John T Mather Memorial Hospital of Port Jefferson New York Inc,54,65509,57554,17829,15822
Kenmore Mercy Hospital,362,21298,20394,10573,10036
Kingsbrook Jewish Medical Center,18,81850,80240,18947,17985
Kings County Hospital Center,21,17884,12661,17621,12476
Kingston Hospital,1,83015,83015,27450,27450
Lakeside Memorial Hospital,10,31492,27461,14487,12397
Lawrence Hospital Center,31,53509,52602,17349,17017
Lenox Hill Hospital,377,80477,71849,50781,45906
Lewis County General Hospital,23,28657,27600,15420,14469
Lincoln Medical & Mental Health Center,17,17747,14700,17588,14568
Long Beach Medical Center,7,41540,39743,13686,12919
Long Island Jewish Medical Center,180,68635,57511,21267,17828
Long Island Jewish Schneiders Children's Hospital Division,2,209152,209152,78077,78077
Lutheran Medical Center,103,47643,43157,29642,27491
Maimonides Medical Center,56,71070,63501,22046,19698
Mary Imogene Bassett Hospital,97,32758,29505,17668,15959
Massena Memorial Hospital,9,30867,32973,15398,16188
Medina Memorial Hospital,7,14564,15739,9022,9448
Memorial Hospital for Cancer and Allied Diseases,27,104618,87915,50324,42253
Mercy Hospital,86,20276,19829,11387,11213
Mercy Medical Center,79,40539,39713,20492,20172
Metropolitan Hospital Center,29,23019,21472,19603,18286
Millard Fillmore Suburban Hospital,361,34325,32774,13748,13127
Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,207,47979,49159,20351,21730
Montefiore Medical Center - Henry & Lucy Moses Div,126,54628,53011,24978,24963
Montefiore Medical Center - North Division,40,53765,52240,24258,23440
Montefiore - NY West Square Division,23,50911,46373,26655,25765
Mount Sinai Hospital,177,46227,41456,22255,19740
Mount Sinai Hospital - Queens Division,69,34634,34101,22325,21741
Mount St Marys Hospital and Health Center,50,27002,26680,15663,15845
Mount Vernon Hospital,1,60939,60939,36210,36210
Nassau University Medical Center,14,25766,23324,17384,17251
Nathan Littauer Hospital,36,40959,40128,16418,15563
Newark-Wayne Community Hospital,71,32109,32081,14108,14128
"New York Community Hospital of Brooklyn, Inc",4,23947,27629,23679,28894
New York Hospital Medical Center   of Queens,99,36455,30194,20333,16746
New York Methodist Hospital,139,41875,38549,19575,18172
New York Presbyterian Hospital - Allen Hospital,9,53454,51163,19355,18795
New York Presbyterian Hospital - Columbia Presbyterian Center,119,50171,45960,17659,15975
New York Presbyterian Hospital - Downtown Division,20,29670,26475,12905,11530
New York Presbyterian Hospital - New York Weill Cornell Center,4,104155,92538,37348,33586
Niagara Falls Memorial Medical Center,14,26021,22332,10112,9672
Nicholas H Noyes Memorial Hospital,41,36149,35394,12401,12107
Northern Dutchess Hospital,123,52869,46993,26468,23942
Northern Westchester Hospital,94,54486,49232,30287,27569
North Shore University Hospital,170,61583,57777,12072,11379
Nyack Hospital,65,46298,44300,11513,11047
NYU Hospital for Joint Diseases,535,90851,82615,26352,24211
NYU Hospitals Center,20,115859,110915,33850,33280
Olean General Hospital,58,26926,27895,15258,15994
Oneida Healthcare Center,18,34903,35574,14360,14717
Orange Regional Medical Center,127,47426,44184,19179,17750
Orange Regional Medical Center-Middletown Campus,137,49313,45456,19932,17555
Oswego Hospital,8,27520,27653,14960,15134
Our Lady of Lourdes Memorial Hospital Inc,177,33283,31588,14490,13729
Peninsula Hospital Center,2,21966,21966,12447,12447
Phelps Memorial Hospital Assn,70,82165,81615,26158,25782
Plainview Hospital,99,51274,46711,16667,15260
Putnam Hospital Center,168,63215,57391,12340,11067
Richmond University Medical Center,34,43020,37257,14656,12613
Rochester General Hospital,314,30249,29087,12348,12044
"Rome Memorial Hospital, Inc",28,47830,49897,15990,16409
Samaritan Hospital,18,31170,28846,13055,12100
Samaritan Medical Center,63,26006,23370,16044,14252
Saratoga Hospital,211,30196,28437,13006,12357
Schuyler Hospital,2,45888,45888,22181,22181
Seton Health System-St Mary's Campus,58,26557,24621,21673,19786
Sisters of Charity Hospital,140,25273,23255,15221,13358
Sisters of Charity Hospital - St Joseph Campus,140,21696,20208,12520,11606
SJRH - Dobbs Ferry Pavillion,10,50138,41660,20965,17532
SJRH - St Johns Division,22,54311,50937,23504,22317
Sound Shore Medical Center of Westchester,112,53559,46531,26716,22855
Southampton Hospital,4,79131,76867,63947,62865
South Nassau Communities Hospital,178,53016,43119,18588,15197
Southside Hospital,146,49324,45855,15053,14017
St Anthony Community Hospital,19,67887,61717,12286,11169
Staten Island University Hosp-North,124,48668,44089,42616,38095
St Barnabas Hospital,11,94736,88382,43148,39731
St Catherine of Siena Hospital,36,58863,54269,17764,16341
St Charles Hospital,158,51396,47060,18009,16514
St Elizabeth Medical Center,215,23976,22747,11018,10477
St Francis Hospital,77,62099,57229,17587,15930
St Francis Hospital,141,44693,41159,16540,15319
St James Mercy Hospital,9,13949,12727,7091,6399
St. Joseph Hospital,38,37107,34565,19115,17891
St Josephs Hospital,41,24108,22437,9864,9156
St Josephs Hospital Health Center,353,23793,21912,10723,9857
St Joseph's Medical Center,15,36546,31791,14643,13124
St Luke's Cornwall Hospital/Newburgh,57,44811,41321,16869,15874
St Lukes Roosevelt Hospital Center - Roosevelt Hospital Division,44,74658,70039,25908,24464
St Lukes Roosevelt Hospital - St Lukes Hospital Division,83,70746,68733,25025,24557
St. Mary's Healthcare,56,21776,20653,12283,11598
St Peters Hospital,445,37003,33280,14163,12443
Strong Memorial Hospital,33,21121,20854,13388,13051
SUNY Downstate Medical Center at LICH,101,41781,37271,23120,19508
Syosset Hospital,15,70674,60975,13818,14299
The Unity Hospital of Rochester,506,23321,22318,12379,11983
TLC Health Network Lake Shore Hospital,37,20719,18140,7985,7341
United Health Services Hospitals Inc. - Binghamton General Hospital,210,39881,36771,20035,18679
United Health Services Hospitals Inc. - Wilson Medical Center,1,35037,35037,17879,17879
United Memorial Medical Center North Street Campus,87,32976,30914,57528,51281
University Hospital,118,42224,40493,18711,17995
University Hospital of Brooklyn,14,42516,39265,28394,24247
University Hospital SUNY Health Science Center,55,40837,35328,19720,16963
Upstate Univ Hosp at Comm Gen,117,31695,27415,15177,13280
Vassar Brothers Medical Center,12,54515,51897,11954,11180
Westchester Medical Center,73,100727,91751,36447,32972
White Plains Hospital Center,72,44730,41690,16515,14072
Winthrop-University Hospital,71,63473,56894,23473,21200
Woman's Christian Association,35,38307,33744,14346,12667
Women And Children's Hospital Of Buffalo,1,125522,125522,52671,52671
Woodhull Medical & Mental Health Center,3,22413,19320,19230,16576
Wyckoff Heights Medical Center,1,24681,24681,12352,12352
Wyoming County Community Hospital,21,15839,15195,13837,13173
