salary,lnsalary,satverb,satmath,highgrade,age,sex,minority,height,weight,genhealth,actscore
52000.0,10.858999,550,550,14,28.0,0,1.0,67.0,189,1,
62000.0,11.034889,750,350,12,28.0,0,1.0,66.0,178,2,
24000.0,10.085809,350,550,18,28.0,0,0.0,71.0,190,1,
38000.0,10.5453415,450,450,16,28.0,0,1.0,74.0,200,5,
54000.0,10.896739,350,350,15,27.0,1,1.0,59.0,115,3,
80000.0,11.289782,550,550,16,28.0,0,0.0,69.0,136,1,
37500.0,10.532096,550,550,16,27.0,0,0.0,67.0,180,2,
40000.0,10.596635,750,650,17,27.0,1,0.0,61.0,117,2,
21000.0,9.952278,550,550,14,28.0,1,1.0,60.0,162,1,33.5
45000.0,10.714417,450,450,16,27.0,1,1.0,67.0,175,2,
75000.0,11.225244,650,650,18,28.0,1,0.0,65.0,170,2,
4000.0,8.294049,450,450,18,26.0,0,0.0,69.0,160,4,
37500.0,10.532096,550,450,16,28.0,0,1.0,72.0,178,2,
35000.0,10.463103,450,350,12,26.0,1,1.0,63.0,136,3,
38000.0,10.5453415,450,450,16,28.0,1,1.0,69.0,190,4,
50000.0,10.819778,350,450,12,27.0,0,0.0,66.0,215,2,
70000.0,11.156251,650,550,16,28.0,1,0.0,63.0,125,2,27.5
47000.0,10.757903,650,550,16,26.0,0,0.0,72.0,188,1,
50000.0,10.819778,550,550,16,28.0,1,0.0,63.0,104,2,21.5
54000.0,10.896739,550,550,18,26.0,1,0.0,69.0,155,1,21.5
2000.0,7.6009026,550,550,17,26.0,0,0.0,75.0,180,1,
18000.0,9.798127,350,450,12,26.0,0,1.0,68.0,145,2,
25000.0,10.126631,350,450,12,26.0,0,1.0,70.0,135,2,
26000.0,10.165852,550,550,12,26.0,0,0.0,74.0,340,3,
50000.0,10.819778,550,650,16,28.0,1,0.0,63.0,200,2,
50000.0,10.819778,550,550,17,28.0,1,0.0,63.0,160,3,
55000.0,10.915089,650,650,17,27.0,0,0.0,70.0,170,1,
130254.0,11.777242,550,750,16,28.0,0,0.0,69.0,167,1,
43000.0,10.668956,450,350,14,26.0,0,1.0,71.0,204,2,
40000.0,10.596635,350,350,12,28.0,1,1.0,68.0,175,1,
50000.0,10.819778,650,750,20,28.0,0,0.0,70.0,165,1,
49000.0,10.799576,450,450,16,28.0,1,1.0,60.0,245,3,
51000.0,10.839581,550,550,16,26.0,0,1.0,71.0,280,2,
130254.0,11.777242,550,650,17,28.0,1,0.0,66.0,142,1,
17000.0,9.740969,550,550,15,26.0,1,1.0,64.0,120,3,
68000.0,11.127263,650,650,17,28.0,0,0.0,72.0,205,1,27.5
47000.0,10.757903,650,750,18,28.0,1,0.0,65.0,220,2,
130254.0,11.777242,550,750,16,26.0,1,0.0,63.0,140,2,27.5
46000.0,10.736397,550,450,17,27.0,0,1.0,73.0,195,1,
22000.0,9.998797,350,450,12,28.0,0,0.0,68.0,175,3,
15000.0,9.615806,450,450,16,28.0,0,0.0,65.0,137,1,
15000.0,9.615806,750,750,16,27.0,1,0.0,64.0,106,3,
55000.0,10.915089,450,450,16,26.0,1,0.0,66.0,112,2,
38000.0,10.5453415,450,450,17,28.0,0,0.0,67.0,150,3,
32000.0,10.373491,450,450,15,28.0,1,1.0,61.0,134,2,
63000.0,11.05089,450,550,16,28.0,1,1.0,62.0,128,2,
22000.0,9.998797,650,550,16,28.0,0,1.0,69.0,170,1,
36000.0,10.491274,450,450,12,28.0,1,0.0,64.0,158,2,
30000.0,10.308952,450,450,15,26.0,0,0.0,72.0,165,2,
42000.0,10.645425,550,650,16,26.0,1,0.0,66.0,131,1,
40000.0,10.596635,550,550,16,26.0,0,1.0,66.0,160,2,
17500.0,9.769957,350,350,12,27.0,1,1.0,65.0,128,3,
35000.0,10.463103,450,450,16,27.0,0,0.0,68.0,140,2,
45000.0,10.714417,650,750,16,27.0,1,0.0,60.0,100,1,
26000.0,10.165852,450,450,19,27.0,1,1.0,60.0,155,2,
58000.0,10.968198,550,450,18,26.0,0,1.0,72.0,285,1,
37500.0,10.532096,350,250,13,27.0,0,1.0,68.0,180,2,
2500.0,7.824046,550,450,18,26.0,1,0.0,69.0,150,1,
46000.0,10.736397,550,650,16,28.0,0,0.0,70.0,180,4,
52000.0,10.858999,650,550,16,27.0,1,0.0,66.0,125,2,
55000.0,10.915089,450,450,17,28.0,0,1.0,67.0,150,1,
17000.0,9.740969,550,450,18,26.0,1,1.0,63.0,110,2,
12000.0,9.392662,450,450,18,28.0,0,0.0,65.0,160,2,
15000.0,9.615806,450,450,13,26.0,1,0.0,66.0,250,3,
65000.0,11.082143,650,750,19,27.0,0,0.0,71.0,185,2,
36000.0,10.491274,550,450,15,26.0,0,0.0,66.0,160,2,
17500.0,9.769957,550,550,16,26.0,1,0.0,63.0,160,2,
27000.0,10.203592,350,450,14,27.0,1,0.0,65.0,220,2,
50000.0,10.819778,450,350,15,26.0,1,1.0,67.0,240,3,
75000.0,11.225244,550,450,16,27.0,1,1.0,63.0,135,3,
38000.0,10.5453415,550,650,18,28.0,0,1.0,72.0,230,1,
20000.0,9.903487,550,650,12,26.0,1,1.0,59.0,165,4,
30000.0,10.308952,650,650,14,27.0,1,0.0,66.0,149,3,27.5
40000.0,10.596635,450,450,19,27.0,0,0.0,69.0,210,1,
17500.0,9.769957,550,550,16,28.0,0,0.0,64.0,240,4,
37500.0,10.532096,550,550,18,28.0,1,0.0,65.0,145,2,
15000.0,9.615806,550,550,18,28.0,1,0.0,60.0,109,3,
400.0,5.9914646,550,550,17,26.0,0,0.0,66.0,164,2,
69000.0,11.141862,650,550,20,27.0,1,0.0,62.0,120,3,
12000.0,9.392662,350,450,14,28.0,1,0.0,62.0,120,2,
63000.0,11.05089,450,450,20,28.0,0,1.0,68.0,155,2,
68000.0,11.127263,550,750,16,27.0,0,0.0,72.0,175,3,
20000.0,9.903487,350,550,17,27.0,0,0.0,67.0,140,4,
15000.0,9.615806,250,250,13,26.0,0,1.0,66.0,180,4,
28000.0,10.23996,550,450,14,27.0,1,1.0,63.0,170,2,
40000.0,10.596635,550,450,14,26.0,0,1.0,74.0,185,3,
30000.0,10.308952,350,350,13,27.0,1,0.0,66.0,180,3,
45000.0,10.714417,550,550,17,26.0,0,1.0,69.0,200,2,
16000.0,9.680344,650,650,17,26.0,0,0.0,69.0,190,2,
25000.0,10.126631,450,450,14,26.0,1,1.0,68.0,310,3,
30000.0,10.308952,550,550,18,28.0,1,0.0,66.0,167,2,
45000.0,10.714417,650,550,19,27.0,0,1.0,71.0,215,1,
60000.0,11.0021,650,650,17,28.0,0,1.0,68.0,236,3,21.5
17500.0,9.769957,550,450,15,27.0,1,1.0,70.0,115,2,
48000.0,10.778956,450,450,16,28.0,0,1.0,71.0,193,3,15.5
32000.0,10.373491,650,650,13,28.0,1,1.0,60.0,128,1,21.5
17000.0,9.740969,450,450,14,27.0,1,0.0,62.0,125,3,
24000.0,10.085809,550,550,19,28.0,1,1.0,60.0,105,1,
130254.0,11.777242,750,750,18,28.0,0,0.0,67.0,165,3,
55000.0,10.915089,750,650,14,26.0,0,0.0,71.0,229,2,
17500.0,9.769957,550,550,16,28.0,1,0.0,63.0,152,3,
16000.0,9.680344,550,750,18,27.0,1,0.0,62.0,108,2,
60000.0,11.0021,550,550,19,26.0,0,1.0,65.0,150,3,
45000.0,10.714417,450,750,17,26.0,1,1.0,67.0,135,2,
12000.0,9.392662,250,250,11,28.0,0,1.0,65.0,160,1,
28000.0,10.23996,350,450,14,28.0,1,0.0,62.0,141,2,
38000.0,10.5453415,650,450,17,28.0,1,1.0,67.0,145,3,
2500.0,7.824046,550,550,19,28.0,1,0.0,67.0,145,2,
50000.0,10.819778,450,550,16,27.0,1,0.0,64.0,120,2,
45000.0,10.714417,550,550,12,28.0,1,1.0,63.0,125,2,
20000.0,9.903487,650,650,16,28.0,1,1.0,64.0,140,3,27.5
45000.0,10.714417,750,750,17,26.0,1,1.0,67.0,150,1,
130254.0,11.777242,550,650,16,26.0,0,0.0,77.0,270,1,
34000.0,10.434115,550,650,17,26.0,0,0.0,71.0,155,1,
44000.0,10.691945,550,550,17,28.0,0,0.0,75.0,200,2,
42000.0,10.645425,750,750,14,26.0,0,0.0,72.0,255,2,
55000.0,10.915089,550,550,14,26.0,0,0.0,71.0,190,1,
42000.0,10.645425,550,550,19,27.0,1,0.0,65.0,122,2,21.5
32000.0,10.373491,650,350,15,27.0,0,0.0,71.0,190,2,21.5
25000.0,10.126631,650,550,17,26.0,0,0.0,74.0,200,2,27.5
62000.0,11.034889,550,650,18,27.0,1,0.0,65.0,125,1,
65000.0,11.082143,550,550,18,27.0,1,0.0,66.0,160,4,
65000.0,11.082143,450,650,17,26.0,1,0.0,65.0,137,2,27.5
30000.0,10.308952,550,550,17,27.0,0,1.0,72.0,215,1,
7500.0,8.922658,650,650,19,28.0,0,1.0,73.0,210,3,27.5
2158.0,7.676937,650,650,19,28.0,1,0.0,62.0,99,2,33.5
22000.0,9.998797,750,750,17,26.0,1,0.0,66.0,190,2,33.5
130254.0,11.777242,550,650,16,28.0,0,0.0,70.0,165,2,27.5
8848.0,9.087947,650,750,20,26.0,1,0.0,66.0,130,4,33.5
20000.0,9.903487,650,550,20,28.0,0,0.0,71.0,145,1,27.5
32000.0,10.373491,550,550,17,27.0,0,0.0,69.0,180,2,
61743.0,11.030736,350,450,16,27.0,1,0.0,67.0,145,1,
27000.0,10.203592,350,450,12,28.0,0,0.0,65.0,125,2,
25000.0,10.126631,550,550,16,26.0,0,0.0,70.0,290,3,
30000.0,10.308952,450,350,12,28.0,1,0.0,67.0,155,2,
72000.0,11.184422,550,550,16,26.0,1,0.0,67.0,175,2,
130254.0,11.777242,650,550,16,28.0,1,0.0,67.0,135,2,
82000.0,11.314474,550,550,16,27.0,1,0.0,64.0,130,3,
130254.0,11.777242,550,450,16,28.0,0,1.0,72.0,235,2,
17500.0,9.769957,650,550,15,26.0,0,0.0,74.0,238,1,
60000.0,11.0021,550,550,17,26.0,1,0.0,67.0,140,2,21.5
30000.0,10.308952,550,550,18,26.0,0,0.0,75.0,200,2,
53000.0,10.878047,550,450,17,28.0,1,1.0,63.0,125,2,
55000.0,10.915089,550,550,16,28.0,1,1.0,59.0,110,3,
20000.0,9.903487,650,650,18,27.0,0,0.0,67.0,150,2,
10000.0,9.2103405,550,650,20,26.0,1,1.0,62.0,127,2,
25000.0,10.126631,750,750,17,26.0,1,0.0,62.0,125,2,
30500.0,10.325482,650,650,16,26.0,1,0.0,66.0,170,1,
70000.0,11.156251,650,550,18,27.0,1,1.0,64.0,180,2,21.5
25000.0,10.126631,650,750,14,28.0,0,0.0,70.0,215,3,
10000.0,9.2103405,650,650,16,26.0,0,0.0,67.0,145,3,
35000.0,10.463103,450,550,17,26.0,1,0.0,66.0,135,2,
37500.0,10.532096,650,550,16,26.0,1,0.0,64.0,120,2,
5000.0,8.517193,550,650,17,27.0,0,0.0,71.0,175,2,
75000.0,11.225244,550,550,16,26.0,1,0.0,68.0,160,1,
56000.0,10.933107,650,650,19,26.0,0,0.0,75.0,175,2,
37500.0,10.532096,550,550,14,28.0,1,1.0,65.0,140,2,27.5
60000.0,11.0021,450,650,19,28.0,1,1.0,70.0,180,1,
40000.0,10.596635,550,550,18,27.0,0,0.0,69.0,140,3,
5000.0,8.517193,550,550,16,27.0,1,0.0,64.0,115,1,21.5
12000.0,9.392662,650,650,17,28.0,0,0.0,71.0,190,2,33.5
130254.0,11.777242,450,350,20,28.0,0,0.0,71.0,150,1,
130254.0,11.777242,650,750,16,28.0,1,0.0,65.0,120,1,
75000.0,11.225244,650,650,16,28.0,0,0.0,67.0,170,2,
50000.0,10.819778,650,650,16,28.0,0,0.0,70.0,195,3,
26000.0,10.165852,550,650,16,26.0,1,1.0,65.0,125,2,
46000.0,10.736397,750,750,16,27.0,1,0.0,64.0,135,1,
80000.0,11.289782,650,450,14,28.0,1,0.0,63.0,195,3,
56000.0,10.933107,450,550,16,27.0,0,0.0,68.0,155,1,
48000.0,10.778956,450,650,14,28.0,0,0.0,71.0,210,3,
48000.0,10.778956,550,550,17,27.0,0,0.0,71.0,160,1,
42000.0,10.645425,550,550,17,26.0,1,0.0,64.0,126,1,
23000.0,10.043249,550,750,16,28.0,0,1.0,72.0,150,1,
42000.0,10.645425,550,450,13,26.0,1,1.0,62.0,256,4,
20000.0,9.903487,750,350,14,26.0,1,1.0,61.0,175,4,
85000.0,11.350407,550,650,18,27.0,0,0.0,69.0,155,1,
38000.0,10.5453415,650,450,19,27.0,1,1.0,68.0,160,2,21.5
30000.0,10.308952,750,650,18,28.0,1,0.0,69.0,140,1,
48000.0,10.778956,550,650,16,27.0,0,0.0,70.0,170,3,
65000.0,11.082143,550,650,18,28.0,1,0.0,64.0,140,3,
25000.0,10.126631,450,450,14,28.0,0,1.0,69.0,185,3,
19000.0,9.852194,450,450,14,27.0,1,1.0,67.0,160,2,
51000.0,10.839581,550,550,19,27.0,0,1.0,70.0,250,3,
46000.0,10.736397,550,450,17,26.0,1,0.0,61.0,102,1,
45000.0,10.714417,350,450,15,26.0,0,0.0,70.0,140,1,
15000.0,9.615806,650,550,18,27.0,1,1.0,77.0,250,4,
30000.0,10.308952,550,450,16,26.0,1,0.0,63.0,127,2,
3000.0,8.006368,450,550,15,26.0,1,1.0,68.0,170,2,
48000.0,10.778956,550,650,13,27.0,0,0.0,73.0,165,3,
14000.0,9.546813,550,550,12,26.0,0,0.0,73.0,165,2,
130254.0,11.777242,550,650,16,26.0,0,0.0,77.0,190,1,
130254.0,11.777242,750,750,17,26.0,0,0.0,69.0,155,1,
60000.0,11.0021,550,550,14,28.0,1,0.0,61.0,160,3,
75000.0,11.225244,550,550,16,28.0,1,0.0,63.0,140,3,27.5
60000.0,11.0021,550,650,20,27.0,1,0.0,64.0,113,2,
40000.0,10.596635,550,550,11,26.0,0,0.0,72.0,190,2,
35000.0,10.463103,550,450,17,26.0,1,0.0,65.0,122,3,
40000.0,10.596635,550,550,18,27.0,1,0.0,65.0,140,2,
55000.0,10.915089,450,450,14,28.0,0,0.0,74.0,250,3,
17500.0,9.769957,550,550,15,28.0,0,0.0,70.0,145,3,
77500.0,11.258033,450,550,16,28.0,1,0.0,61.0,120,3,
45000.0,10.714417,550,550,18,27.0,0,0.0,70.0,168,2,
20000.0,9.903487,550,450,16,28.0,0,0.0,69.0,200,3,
65000.0,11.082143,650,750,20,26.0,0,0.0,74.0,222,1,27.5
37500.0,10.532096,550,450,17,28.0,1,0.0,66.0,150,1,
25000.0,10.126631,350,450,14,26.0,0,0.0,72.0,210,4,
8000.0,8.987197,550,650,13,27.0,0,1.0,67.0,160,3,
37000.0,10.518673,550,550,16,27.0,1,1.0,68.0,148,3,
38000.0,10.5453415,550,550,16,27.0,1,0.0,67.0,135,2,
12700.0,9.449357,650,550,20,28.0,0,0.0,70.0,225,2,
20000.0,9.903487,450,550,14,28.0,0,1.0,70.0,165,1,
36000.0,10.491274,550,650,16,27.0,1,1.0,64.0,120,2,27.5
12000.0,9.392662,650,550,19,27.0,0,0.0,73.0,172,1,21.5
75000.0,11.225244,650,650,16,27.0,0,0.0,74.0,195,2,27.5
36000.0,10.491274,650,650,14,27.0,0,0.0,71.0,185,2,21.5
20000.0,9.903487,650,550,19,26.0,1,0.0,66.0,140,1,27.5
50929.0,10.838188,550,550,20,27.0,0,0.0,75.0,183,1,21.5
75000.0,11.225244,550,650,17,27.0,0,0.0,71.0,150,2,21.5
85000.0,11.350407,650,650,19,27.0,1,0.0,63.0,105,1,27.5
34050.0,10.435585,650,550,16,28.0,1,0.0,69.0,275,2,33.5
32000.0,10.373491,550,550,19,28.0,1,1.0,60.0,150,1,21.5
130254.0,11.777242,550,650,16,26.0,0,0.0,69.0,155,1,
27000.0,10.203592,750,550,18,27.0,0,0.0,74.0,283,3,21.5
47000.0,10.757903,450,350,16,28.0,1,1.0,62.0,120,3,15.5
40000.0,10.596635,650,750,17,28.0,0,0.0,66.0,160,3,
40000.0,10.596635,650,750,16,26.0,0,0.0,67.0,155,2,
42000.0,10.645425,450,450,16,26.0,1,0.0,67.0,142,2,21.5
45000.0,10.714417,650,550,18,27.0,0,0.0,62.0,215,3,
35000.0,10.463103,450,450,16,28.0,0,0.0,54.0,138,2,
65000.0,11.082143,550,550,16,27.0,0,0.0,70.0,210,2,
31000.0,10.3417425,750,650,16,27.0,0,0.0,74.0,250,2,27.5
50000.0,10.819778,550,550,19,28.0,1,0.0,68.0,130,2,27.5
15000.0,9.615806,650,550,16,28.0,1,0.0,65.0,225,2,
60000.0,11.0021,650,650,18,27.0,0,0.0,75.0,195,2,
49000.0,10.799576,350,350,16,28.0,1,1.0,61.0,105,2,
75000.0,11.225244,450,550,18,28.0,1,0.0,68.0,120,2,
75000.0,11.225244,450,450,16,28.0,1,0.0,67.0,114,1,
54000.0,10.896739,650,550,19,28.0,1,0.0,67.0,175,1,
30000.0,10.308952,550,250,11,27.0,0,0.0,68.0,220,4,
42000.0,10.645425,750,650,14,28.0,1,0.0,65.0,180,1,
35000.0,10.463103,550,650,18,26.0,0,0.0,73.0,205,2,
27000.0,10.203592,650,550,13,27.0,0,0.0,73.0,220,3,
57000.0,10.950807,550,450,12,28.0,1,0.0,62.0,120,1,
70000.0,11.156251,650,650,16,27.0,0,0.0,72.0,190,1,
64175.0,11.069369,550,650,16,27.0,0,0.0,73.0,202,2,
130254.0,11.777242,650,750,16,26.0,0,0.0,75.0,170,1,33.5
50000.0,10.819778,550,550,16,26.0,1,0.0,66.0,140,2,
83000.0,11.326596,550,450,17,28.0,1,1.0,64.0,110,2,
55000.0,10.915089,450,450,16,27.0,0,1.0,72.0,218,2,15.5
50000.0,10.819778,450,550,14,27.0,1,1.0,65.0,155,1,
24000.0,10.085809,350,350,12,27.0,0,1.0,75.0,225,2,15.5
36000.0,10.491274,250,350,15,26.0,0,1.0,68.0,255,2,
55000.0,10.915089,350,450,14,27.0,0,0.0,69.0,170,3,
40000.0,10.596635,450,650,16,26.0,0,0.0,66.0,145,1,
62000.0,11.034889,550,650,17,28.0,0,0.0,70.0,195,2,
42000.0,10.645425,550,550,17,27.0,0,0.0,68.0,173,3,
79000.0,11.277204,550,550,17,28.0,1,0.0,65.0,140,1,
55000.0,10.915089,350,350,18,28.0,1,1.0,64.0,190,3,
15000.0,9.615806,450,450,12,26.0,1,0.0,65.0,220,1,
26000.0,10.165852,350,450,15,27.0,1,1.0,63.0,156,4,15.5
130254.0,11.777242,550,650,16,26.0,0,1.0,72.0,187,2,
13000.0,9.472705,350,450,16,28.0,0,0.0,72.0,240,4,
21000.0,9.952278,550,550,16,28.0,1,0.0,66.0,128,1,
35000.0,10.463103,450,450,11,27.0,0,1.0,71.0,160,4,
17500.0,9.769957,650,750,14,27.0,1,0.0,66.0,204,2,
48200.0,10.783114,450,450,16,28.0,1,0.0,66.0,148,2,21.5
30000.0,10.308952,350,450,15,27.0,0,1.0,73.0,230,1,
9000.0,9.1049795,250,350,20,27.0,0,1.0,73.0,260,3,
60000.0,11.0021,450,450,16,28.0,1,1.0,67.0,217,3,
19200.0,9.862665,250,350,14,28.0,1,1.0,58.0,110,1,
10000.0,9.2103405,550,550,16,27.0,1,0.0,67.0,130,1,
55000.0,10.915089,450,450,18,28.0,1,0.0,67.0,134,1,33.5
41000.0,10.621327,550,450,14,28.0,1,0.0,68.0,260,2,
38000.0,10.5453415,550,550,16,27.0,0,0.0,75.0,175,2,
53000.0,10.878047,550,650,17,26.0,0,0.0,69.0,175,2,
75000.0,11.225244,650,450,12,26.0,1,1.0,67.0,140,1,
75000.0,11.225244,750,750,16,27.0,0,0.0,75.0,180,1,
130254.0,11.777242,650,650,16,26.0,1,0.0,68.0,130,1,
22000.0,9.998797,750,650,18,28.0,1,0.0,69.0,150,1,
4800.0,8.476371,550,550,16,26.0,0,0.0,68.0,195,1,
8000.0,8.987197,650,650,16,26.0,1,0.0,67.0,120,1,
42000.0,10.645425,650,650,20,26.0,1,0.0,63.0,117,1,
130254.0,11.777242,550,650,16,27.0,1,0.0,66.0,120,2,
30000.0,10.308952,450,450,14,28.0,0,0.0,74.0,220,3,
42000.0,10.645425,650,650,20,28.0,1,0.0,61.0,120,1,
14000.0,9.546813,550,550,16,26.0,0,0.0,69.0,167,1,27.5
26000.0,10.165852,650,550,14,28.0,1,0.0,66.0,220,2,
35000.0,10.463103,550,650,17,27.0,0,0.0,74.0,215,3,21.5
300.0,5.7037826,450,450,14,28.0,1,0.0,69.0,200,3,
40000.0,10.596635,650,650,16,28.0,1,0.0,66.0,165,2,27.5
40000.0,10.596635,450,450,16,26.0,0,0.0,72.0,175,1,
